task,retriever,pool_size,actual_pool_size,repeat,gold_count,top1_accuracy,hit@3,hit@5,hit@10,recall@3,recall@5,recall@10,mrr@10,ndcg@10,first_gold_rank@10
hvac-control,bm25,1000,1000,4,5,1.0,1.0,1.0,1.0,0.2,0.2,0.6,1.0,0.5592067393987519,1
invoice-fraud-detection,bm25,1000,1000,4,3,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.7613569414627896,1
jax-computing-basics,bm25,1000,1000,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
jpg-ocr-stat,bm25,1000,1000,4,5,1.0,1.0,1.0,1.0,0.2,0.2,0.4,1.0,0.45221360703148816,1
lab-unit-harmonization,bm25,1000,1000,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
lake-warming-attribution,bm25,1000,1000,4,4,0.0,0.0,1.0,1.0,0.0,0.25,0.25,0.2,0.15101961822780524,5
latex-formula-extraction,bm25,1000,1000,4,2,0.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.6052602440527057,2
lean4-proof,bm25,1000,1000,4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
manufacturing-codebook-normalization,bm25,1000,1000,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
manufacturing-equipment-maintenance,bm25,1000,1000,4,2,0.0,0.0,1.0,1.0,0.0,0.5,1.0,0.2,0.45560514958746035,5
manufacturing-fjsp-optimization,bm25,1000,1000,4,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,2
mario-coin-counting,bm25,1000,1000,4,3,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,1
mars-clouds-clustering,bm25,1000,1000,4,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
mhc-layer-impl,bm25,1000,1000,4,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
multilingual-video-dubbing,bm25,1000,1000,4,6,0.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.8333333333333334,0.25,0.5471353879625743,4
offer-letter-generator,bm25,1000,1000,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
organize-messy-files,bm25,1000,1000,4,5,0.0,1.0,1.0,1.0,0.2,0.4,0.4,0.5,0.36005461457723403,2
paper-anonymizer,bm25,1000,1000,4,2,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.8772153153380493,1
parallel-tfidf-search,bm25,1000,1000,4,3,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,1
pddl-tpp-planning,bm25,1000,1000,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
pdf-excel-diff,bm25,1000,1000,4,2,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.14285714285714285,0.20438239758848611,7
pedestrian-traffic-counting,bm25,1000,1000,4,4,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
pg-essay-to-audiobook,bm25,1000,1000,4,4,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.9047172294870751,1
powerlifting-coef-calc,bm25,1000,1000,4,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
pptx-reference-formatting,bm25,1000,1000,4,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,2
protein-expression-analysis,bm25,1000,1000,4,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,3
python-scala-translation,bm25,1000,1000,4,6,1.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,0.9495662644168646,1
quantum-numerical-simulation,bm25,1000,1000,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
r2r-mpc-control,bm25,1000,1000,4,4,1.0,1.0,1.0,1.0,0.25,0.25,0.25,1.0,0.3903800499921017,1
react-performance-debugging,bm25,1000,1000,4,2,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.1111111111111111,0.18457569677956817,9
reserves-at-risk-calc,bm25,1000,1000,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
sales-pivot-analysis,bm25,1000,1000,4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
scheduling-email-assistant,bm25,1000,1000,4,2,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.8065735963827293,1
sec-financial-report,bm25,1000,1000,4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
seismic-phase-picking,bm25,1000,1000,4,4,1.0,1.0,1.0,1.0,0.5,0.75,0.75,1.0,0.8048099750039491,1
setup-fuzzing-py,bm25,1000,1000,4,3,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,1
shock-analysis-demand,bm25,1000,1000,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shock-analysis-supply,bm25,1000,1000,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
simpo-code-reproduction,bm25,1000,1000,4,2,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,1
software-dependency-audit,bm25,1000,1000,4,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.9134015924715543,1
speaker-diarization-subtitles,bm25,1000,1000,4,4,1.0,1.0,1.0,1.0,0.5,0.75,1.0,1.0,0.8838242945899706,1
spring-boot-jakarta-migration,bm25,1000,1000,4,5,1.0,1.0,1.0,1.0,0.4,0.6,0.8,1.0,0.7823908333518426,1
suricata-custom-exfil,bm25,1000,1000,4,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
syzkaller-ppdev-syzlang,bm25,1000,1000,4,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
taxonomy-tree-merge,bm25,1000,1000,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
threejs-structure-parser,bm25,1000,1000,4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
threejs-to-obj,bm25,1000,1000,4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
travel-planning,bm25,1000,1000,4,6,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.4935232796777482,1
trend-anomaly-causal-inference,bm25,1000,1000,4,4,0.0,1.0,1.0,1.0,0.25,0.5,0.5,0.3333333333333333,0.36331756126716835,3
video-filler-word-remover,bm25,1000,1000,4,3,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.9469024295259745,1
video-silence-remover,bm25,1000,1000,4,7,0.0,1.0,1.0,1.0,0.2857142857142857,0.42857142857142855,0.7142857142857143,0.5,0.6066186211834831,2
video-tutorial-indexer,bm25,1000,1000,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
virtualhome-agent-planning,bm25,1000,1000,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
weighted-gdp-calc,bm25,1000,1000,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
xlsx-recover-data,bm25,1000,1000,4,2,0.0,1.0,1.0,1.0,0.5,0.5,1.0,0.3333333333333333,0.5,3
3d-scan-calc,bm25,10000,10000,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
adaptive-cruise-control,bm25,10000,10000,0,5,1.0,1.0,1.0,1.0,0.6,0.6,0.8,1.0,0.8357799744028239,1
azure-bgp-oscillation-route-leak,bm25,10000,10000,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
citation-check,bm25,10000,10000,0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,2
civ6-adjacency-optimizer,bm25,10000,10000,0,4,1.0,1.0,1.0,1.0,0.5,0.5,0.75,1.0,0.715696758318853,1
court-form-filling,bm25,10000,10000,0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.14285714285714285,0.3333333333333333,7
crystallographic-wyckoff-position-analysis,bm25,10000,10000,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.14285714285714285,0.20438239758848611,7
dapt-intrusion-detection,bm25,10000,10000,0,2,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,1
data-to-d3,bm25,10000,10000,0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,3
dialogue-parser,bm25,10000,10000,0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,2
dynamic-object-aware-egomotion,bm25,10000,10000,0,4,1.0,1.0,1.0,1.0,0.25,0.75,0.75,1.0,0.7095272044910244,1
earthquake-phase-association,bm25,10000,10000,0,4,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
earthquake-plate-calculation,bm25,10000,10000,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
econ-detrending-correlation,bm25,10000,10000,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
energy-ac-optimal-power-flow,bm25,10000,10000,0,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.9066276098484507,1
energy-market-pricing,bm25,10000,10000,0,4,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
enterprise-information-search,bm25,10000,10000,0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.16666666666666666,0.3562071871080222,6
exceltable-in-ppt,bm25,10000,10000,0,2,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.2,0.23719771276929622,5
exoplanet-detection-period,bm25,10000,10000,0,5,1.0,1.0,1.0,1.0,0.4,0.4,0.6,1.0,0.6739577727076379,1
financial-modeling-qa,bm25,10000,10000,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
find-topk-similiar-chemicals,bm25,10000,10000,0,3,0.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.4776237035032179,2
fix-build-agentops,bm25,10000,10000,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
fix-build-google-auto,bm25,10000,10000,0,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
fix-druid-loophole-cve,bm25,10000,10000,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
fix-erlang-ssh-cve,bm25,10000,10000,0,6,1.0,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,1.0,0.41039156802332444,1
fix-visual-stability,bm25,10000,10000,0,3,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,1
flink-query,bm25,10000,10000,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
flood-risk-analysis,bm25,10000,10000,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
gh-repo-analytics,bm25,10000,10000,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
glm-lake-mendota,bm25,10000,10000,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
gravitational-wave-detection,bm25,10000,10000,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
grid-dispatch-operator,bm25,10000,10000,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
hvac-control,bm25,10000,10000,0,5,1.0,1.0,1.0,1.0,0.2,0.2,0.2,1.0,0.3391602052736161,1
invoice-fraud-detection,bm25,10000,10000,0,3,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,1
jax-computing-basics,bm25,10000,10000,0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.16666666666666666,0.3562071871080222,6
jpg-ocr-stat,bm25,10000,10000,0,5,1.0,1.0,1.0,1.0,0.2,0.2,0.2,1.0,0.3391602052736161,1
lab-unit-harmonization,bm25,10000,10000,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
lake-warming-attribution,bm25,10000,10000,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
latex-formula-extraction,bm25,10000,10000,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
lean4-proof,bm25,10000,10000,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
manufacturing-codebook-normalization,bm25,10000,10000,0,1,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.25,0.43067655807339306,4
manufacturing-equipment-maintenance,bm25,10000,10000,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
manufacturing-fjsp-optimization,bm25,10000,10000,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
mario-coin-counting,bm25,10000,10000,0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.125,0.1480409554829326,8
mars-clouds-clustering,bm25,10000,10000,0,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7039180890341347,1
mhc-layer-impl,bm25,10000,10000,0,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
multilingual-video-dubbing,bm25,10000,10000,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
offer-letter-generator,bm25,10000,10000,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
organize-messy-files,bm25,10000,10000,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
paper-anonymizer,bm25,10000,10000,0,2,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,1
parallel-tfidf-search,bm25,10000,10000,0,3,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,1
pddl-tpp-planning,bm25,10000,10000,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
pdf-excel-diff,bm25,10000,10000,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pedestrian-traffic-counting,bm25,10000,10000,0,4,1.0,1.0,1.0,1.0,0.25,0.5,0.75,1.0,0.6975637657739948,1
pg-essay-to-audiobook,bm25,10000,10000,0,4,1.0,1.0,1.0,1.0,0.25,0.5,0.75,1.0,0.6760236910196463,1
powerlifting-coef-calc,bm25,10000,10000,0,3,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,1
pptx-reference-formatting,bm25,10000,10000,0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.16666666666666666,0.3562071871080222,6
protein-expression-analysis,bm25,10000,10000,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
python-scala-translation,bm25,10000,10000,0,6,1.0,1.0,1.0,1.0,0.5,0.8333333333333334,1.0,1.0,1.0000000000000002,1
quantum-numerical-simulation,bm25,10000,10000,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
r2r-mpc-control,bm25,10000,10000,0,4,1.0,1.0,1.0,1.0,0.25,0.25,0.25,1.0,0.3903800499921017,1
react-performance-debugging,bm25,10000,10000,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
reserves-at-risk-calc,bm25,10000,10000,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
sales-pivot-analysis,bm25,10000,10000,0,2,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,1
scheduling-email-assistant,bm25,10000,10000,0,2,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.2,0.23719771276929622,5
sec-financial-report,bm25,10000,10000,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9197207891481876,1
seismic-phase-picking,bm25,10000,10000,0,4,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6366824387328317,1
setup-fuzzing-py,bm25,10000,10000,0,3,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,1
shock-analysis-demand,bm25,10000,10000,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shock-analysis-supply,bm25,10000,10000,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
simpo-code-reproduction,bm25,10000,10000,0,2,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,1
software-dependency-audit,bm25,10000,10000,0,3,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,1
speaker-diarization-subtitles,bm25,10000,10000,0,4,1.0,1.0,1.0,1.0,0.25,0.5,0.75,1.0,0.6816587806335841,1
spring-boot-jakarta-migration,bm25,10000,10000,0,5,1.0,1.0,1.0,1.0,0.4,0.4,0.4,1.0,0.5531464700081437,1
suricata-custom-exfil,bm25,10000,10000,0,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
syzkaller-ppdev-syzlang,bm25,10000,10000,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
taxonomy-tree-merge,bm25,10000,10000,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
threejs-structure-parser,bm25,10000,10000,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
threejs-to-obj,bm25,10000,10000,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9197207891481876,1
travel-planning,bm25,10000,10000,0,6,0.0,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.28638129926840206,2
trend-anomaly-causal-inference,bm25,10000,10000,0,4,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.14285714285714285,0.13012668333070054,7
video-filler-word-remover,bm25,10000,10000,0,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
video-silence-remover,bm25,10000,10000,0,7,1.0,1.0,1.0,1.0,0.2857142857142857,0.2857142857142857,0.42857142857142855,1.0,0.5350178183966501,1
video-tutorial-indexer,bm25,10000,10000,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
virtualhome-agent-planning,bm25,10000,10000,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
weighted-gdp-calc,bm25,10000,10000,0,1,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.2,0.38685280723454163,5
xlsx-recover-data,bm25,10000,10000,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.1,0.17723928678404774,10
3d-scan-calc,bm25,10000,10000,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
adaptive-cruise-control,bm25,10000,10000,1,5,1.0,1.0,1.0,1.0,0.6,0.6,0.8,1.0,0.843537875344446,1
azure-bgp-oscillation-route-leak,bm25,10000,10000,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
citation-check,bm25,10000,10000,1,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,2
civ6-adjacency-optimizer,bm25,10000,10000,1,4,1.0,1.0,1.0,1.0,0.5,0.75,0.75,1.0,0.8048099750039491,1
court-form-filling,bm25,10000,10000,1,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.1,0.2890648263178879,10
crystallographic-wyckoff-position-analysis,bm25,10000,10000,1,2,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.25,0.2640681225725909,4
dapt-intrusion-detection,bm25,10000,10000,1,2,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,1
data-to-d3,bm25,10000,10000,1,1,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.2,0.38685280723454163,5
dialogue-parser,bm25,10000,10000,1,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,2
dynamic-object-aware-egomotion,bm25,10000,10000,1,4,1.0,1.0,1.0,1.0,0.5,0.75,0.75,1.0,0.75369761125927,1
earthquake-phase-association,bm25,10000,10000,1,4,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
earthquake-plate-calculation,bm25,10000,10000,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
econ-detrending-correlation,bm25,10000,10000,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
energy-ac-optimal-power-flow,bm25,10000,10000,1,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.9134015924715543,1
energy-market-pricing,bm25,10000,10000,1,4,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
enterprise-information-search,bm25,10000,10000,1,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,2
exceltable-in-ppt,bm25,10000,10000,1,2,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.25,0.2640681225725909,4
exoplanet-detection-period,bm25,10000,10000,1,5,1.0,1.0,1.0,1.0,0.2,0.2,0.4,1.0,0.4599715079731103,1
financial-modeling-qa,bm25,10000,10000,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
find-topk-similiar-chemicals,bm25,10000,10000,1,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
fix-build-agentops,bm25,10000,10000,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
fix-build-google-auto,bm25,10000,10000,1,3,0.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5307212739772434,2
fix-druid-loophole-cve,bm25,10000,10000,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
fix-erlang-ssh-cve,bm25,10000,10000,1,6,1.0,1.0,1.0,1.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.419665006636777,1
fix-visual-stability,bm25,10000,10000,1,3,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,1
flink-query,bm25,10000,10000,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
flood-risk-analysis,bm25,10000,10000,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
gh-repo-analytics,bm25,10000,10000,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
glm-lake-mendota,bm25,10000,10000,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
gravitational-wave-detection,bm25,10000,10000,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
grid-dispatch-operator,bm25,10000,10000,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
hvac-control,bm25,10000,10000,1,5,1.0,1.0,1.0,1.0,0.2,0.2,0.2,1.0,0.3391602052736161,1
invoice-fraud-detection,bm25,10000,10000,1,3,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,1
jax-computing-basics,bm25,10000,10000,1,1,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.25,0.43067655807339306,4
jpg-ocr-stat,bm25,10000,10000,1,5,0.0,0.0,1.0,1.0,0.0,0.2,0.2,0.25,0.14606834984270645,4
lab-unit-harmonization,bm25,10000,10000,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
lake-warming-attribution,bm25,10000,10000,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
latex-formula-extraction,bm25,10000,10000,1,2,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.1,0.17723928678404774,10
lean4-proof,bm25,10000,10000,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
manufacturing-codebook-normalization,bm25,10000,10000,1,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,3
manufacturing-equipment-maintenance,bm25,10000,10000,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
manufacturing-fjsp-optimization,bm25,10000,10000,1,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.1,0.2890648263178879,10
mario-coin-counting,bm25,10000,10000,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
mars-clouds-clustering,bm25,10000,10000,1,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7039180890341347,1
mhc-layer-impl,bm25,10000,10000,1,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
multilingual-video-dubbing,bm25,10000,10000,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
offer-letter-generator,bm25,10000,10000,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
organize-messy-files,bm25,10000,10000,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
paper-anonymizer,bm25,10000,10000,1,2,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,1
parallel-tfidf-search,bm25,10000,10000,1,3,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,1
pddl-tpp-planning,bm25,10000,10000,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
pdf-excel-diff,bm25,10000,10000,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pedestrian-traffic-counting,bm25,10000,10000,1,4,1.0,1.0,1.0,1.0,0.5,0.75,0.75,1.0,0.7365896932159578,1
pg-essay-to-audiobook,bm25,10000,10000,1,4,1.0,1.0,1.0,1.0,0.25,0.25,0.75,1.0,0.6422813708518126,1
powerlifting-coef-calc,bm25,10000,10000,1,3,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,1
pptx-reference-formatting,bm25,10000,10000,1,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.14285714285714285,0.3333333333333333,7
protein-expression-analysis,bm25,10000,10000,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
python-scala-translation,bm25,10000,10000,1,6,1.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,0.9495662644168646,1
